name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
EuropeanLanguages,0.04580952227115631,103.50827527046204,64.58452653884888,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,0
EuropeanLanguages,0.046238094568252563,103.50827527046204,66.31734371185303,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,5
EuropeanLanguages,0.04590476304292679,103.50827527046204,63.70568609237671,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,10
EuropeanLanguages,0.04600000008940697,103.50827527046204,80.14852595329285,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,20
EuropeanLanguages,0.04595237970352173,103.50827527046204,82.58436369895935,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,30
EuropeanLanguages,0.04585714265704155,103.50827527046204,81.40954732894897,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,40
EuropeanLanguages,0.044476188719272614,103.50827527046204,87.97305250167847,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,50
EuropeanLanguages,0.04561904817819595,103.50827527046204,87.0149405002594,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,60
EuropeanLanguages,0.043285712599754333,103.50827527046204,84.00386452674866,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,70
EuropeanLanguages,0.042476192116737366,103.50827527046204,81.50781774520874,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,80
EuropeanLanguages,0.042476192116737366,103.50827527046204,85.4957377910614,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,90
EuropeanLanguages,0.04266666620969772,103.50827527046204,83.15172100067139,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,100
MNIST,0.8659999966621399,32.89044976234436,44.78205919265747,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,0
MNIST,0.8598999977111816,32.89044976234436,45.79758834838867,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,5
MNIST,0.8572999835014343,32.89044976234436,42.3224310874939,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,10
MNIST,0.8339999914169312,32.89044976234436,43.21550679206848,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,20
MNIST,0.7773000001907349,32.89044976234436,47.387507915496826,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,30
MNIST,0.5662999749183655,32.89044976234436,44.97972559928894,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,40
MNIST,0.09669999778270721,32.89044976234436,46.79599952697754,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,50
MNIST,0.0024999999441206455,32.89044976234436,49.267356634140015,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,60
MNIST,0.00019999999494757503,32.89044976234436,47.369550466537476,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,70
MNIST,0.00019999999494757503,32.89044976234436,44.588855266571045,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,80
MNIST,9.999999747378752e-05,32.89044976234436,43.69555187225342,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,90
